Page Count, Touch Count, Fault Count, Extra Faults
100000, 696, 696, 0
100000, 697, 697, 0
100000, 698, 698, 0
100000, 699, 699, 0
100000, 700, 700, 0
100000, 701, 701, 0
100000, 702, 702, 0
100000, 703, 703, 0
100000, 704, 704, 0
100000, 705, 705, 0
100000, 706, 706, 0
100000, 707, 707, 0
100000, 708, 708, 0
100000, 709, 709, 0
100000, 710, 710, 0
100000, 711, 711, 0
100000, 712, 712, 0
100000, 713, 713, 0
100000, 714, 714, 0
100000, 715, 715, 0
100000, 716, 716, 0
100000, 717, 717, 0
100000, 718, 718, 0
100000, 719, 719, 0
100000, 720, 720, 0
100000, 721, 721, 0
100000, 722, 722, 0
100000, 723, 723, 0
100000, 724, 724, 0
100000, 725, 725, 0
100000, 726, 726, 0
100000, 727, 727, 0
100000, 728, 728, 0
100000, 729, 729, 0
100000, 730, 730, 0
100000, 731, 731, 0
100000, 732, 732, 0
100000, 733, 733, 0
100000, 734, 734, 0
100000, 735, 735, 0
100000, 736, 736, 0
100000, 737, 737, 0
100000, 738, 738, 0
100000, 739, 739, 0
100000, 740, 740, 0
100000, 741, 741, 0
100000, 742, 742, 0
100000, 743, 743, 0
100000, 744, 744, 0
100000, 745, 745, 0
100000, 746, 746, 0
100000, 747, 747, 0
100000, 748, 748, 0
100000, 749, 749, 0
100000, 750, 750, 0
100000, 751, 751, 0
100000, 752, 752, 0
100000, 753, 753, 0
100000, 754, 754, 0
100000, 755, 755, 0
100000, 756, 756, 0
100000, 757, 757, 0
100000, 758, 758, 0
100000, 759, 759, 0
100000, 760, 760, 0
100000, 761, 761, 0
100000, 762, 762, 0
100000, 763, 763, 0
100000, 764, 764, 0
100000, 765, 765, 0
100000, 766, 766, 0
100000, 767, 767, 0
100000, 768, 768, 0
100000, 769, 769, 0
100000, 770, 770, 0
100000, 771, 771, 0
100000, 772, 772, 0
100000, 773, 773, 0
100000, 774, 774, 0
100000, 775, 775, 0
100000, 776, 776, 0
100000, 777, 777, 0
100000, 778, 778, 0
100000, 779, 779, 0
100000, 780, 780, 0
100000, 781, 781, 0
100000, 782, 782, 0
100000, 783, 783, 0
100000, 784, 784, 0
100000, 785, 785, 0
100000, 786, 786, 0
100000, 787, 787, 0
100000, 788, 788, 0
100000, 789, 789, 0
100000, 790, 790, 0
100000, 791, 791, 0
100000, 792, 792, 0
100000, 793, 793, 0
100000, 794, 794, 0
100000, 795, 795, 0
100000, 796, 796, 0
100000, 797, 797, 0
100000, 798, 798, 0
100000, 799, 799, 0
100000, 800, 800, 0
100000, 801, 801, 0
100000, 802, 802, 0
100000, 803, 803, 0
100000, 804, 804, 0
100000, 805, 805, 0
100000, 806, 806, 0
100000, 807, 807, 0
100000, 808, 808, 0
100000, 809, 809, 0
100000, 810, 810, 0
100000, 811, 811, 0
100000, 812, 812, 0
100000, 813, 813, 0
100000, 814, 814, 0
100000, 815, 815, 0
100000, 816, 816, 0
100000, 817, 817, 0
100000, 818, 818, 0
100000, 819, 819, 0
100000, 820, 820, 0
100000, 821, 821, 0
100000, 822, 822, 0
100000, 823, 823, 0
100000, 824, 824, 0
100000, 825, 825, 0
100000, 826, 826, 0
100000, 827, 827, 0
100000, 828, 828, 0
100000, 829, 829, 0
100000, 830, 830, 0
100000, 831, 831, 0
100000, 832, 832, 0
100000, 833, 833, 0
100000, 834, 834, 0
100000, 835, 835, 0
100000, 836, 836, 0
100000, 837, 837, 0
100000, 838, 838, 0
100000, 839, 839, 0
100000, 840, 840, 0
100000, 841, 841, 0
100000, 842, 842, 0
100000, 843, 843, 0
100000, 844, 844, 0
100000, 845, 845, 0
100000, 846, 846, 0
100000, 847, 847, 0
100000, 848, 848, 0
100000, 849, 849, 0
100000, 850, 850, 0
100000, 851, 851, 0
100000, 852, 852, 0
100000, 853, 853, 0
100000, 854, 854, 0
100000, 855, 855, 0
100000, 856, 856, 0
100000, 857, 857, 0
100000, 858, 858, 0
100000, 859, 859, 0
100000, 860, 860, 0
100000, 861, 861, 0
100000, 862, 862, 0
100000, 863, 863, 0
100000, 864, 864, 0
100000, 865, 865, 0
100000, 866, 866, 0
100000, 867, 867, 0
100000, 868, 868, 0
100000, 869, 869, 0
100000, 870, 870, 0
100000, 871, 871, 0
100000, 872, 872, 0
100000, 873, 873, 0
100000, 874, 874, 0
100000, 875, 875, 0
100000, 876, 876, 0
100000, 877, 877, 0
100000, 878, 878, 0
100000, 879, 879, 0
100000, 880, 880, 0
100000, 881, 881, 0
100000, 882, 882, 0
100000, 883, 883, 0
100000, 884, 884, 0
100000, 885, 885, 0
100000, 886, 886, 0
100000, 887, 887, 0
100000, 888, 888, 0
100000, 889, 889, 0
100000, 890, 890, 0
100000, 891, 891, 0
100000, 892, 892, 0
100000, 893, 893, 0
100000, 894, 894, 0
100000, 895, 895, 0
100000, 896, 896, 0
100000, 897, 897, 0
100000, 898, 898, 0
100000, 899, 899, 0
100000, 900, 900, 0
100000, 901, 901, 0
100000, 902, 902, 0
100000, 903, 903, 0
100000, 904, 904, 0
100000, 905, 905, 0
100000, 906, 906, 0
100000, 907, 907, 0
100000, 908, 908, 0
100000, 909, 909, 0
100000, 910, 910, 0
100000, 911, 911, 0
100000, 912, 912, 0
100000, 913, 913, 0
100000, 914, 914, 0
100000, 915, 915, 0
100000, 916, 916, 0
100000, 917, 917, 0
100000, 918, 918, 0
100000, 919, 919, 0
100000, 920, 920, 0
100000, 921, 921, 0
100000, 922, 922, 0
100000, 923, 923, 0
100000, 924, 924, 0
100000, 925, 925, 0
100000, 926, 926, 0
100000, 927, 927, 0
100000, 928, 928, 0
100000, 929, 929, 0
100000, 930, 930, 0
100000, 931, 931, 0
100000, 932, 932, 0
100000, 933, 933, 0
100000, 934, 934, 0
100000, 935, 935, 0
100000, 936, 936, 0
100000, 937, 937, 0
100000, 938, 938, 0
100000, 939, 939, 0
100000, 940, 940, 0
100000, 941, 941, 0
100000, 942, 942, 0
100000, 943, 943, 0
100000, 944, 944, 0
100000, 945, 945, 0
100000, 946, 946, 0
100000, 947, 947, 0
100000, 948, 948, 0
100000, 949, 949, 0
100000, 950, 950, 0
100000, 951, 951, 0
100000, 952, 952, 0
100000, 953, 953, 0
100000, 954, 954, 0
100000, 955, 955, 0
100000, 956, 956, 0
100000, 957, 957, 0
100000, 958, 958, 0
100000, 959, 959, 0
100000, 960, 960, 0
100000, 961, 961, 0
100000, 962, 962, 0
100000, 963, 963, 0
100000, 964, 964, 0
100000, 965, 965, 0
100000, 966, 966, 0
100000, 967, 967, 0
100000, 968, 968, 0
100000, 969, 969, 0
100000, 970, 970, 0
100000, 971, 971, 0
100000, 972, 972, 0
100000, 973, 973, 0
100000, 974, 974, 0
100000, 975, 975, 0
100000, 976, 976, 0
100000, 977, 977, 0
100000, 978, 978, 0
100000, 979, 979, 0
100000, 980, 980, 0
